Name,Label,Canton_name
Bitsch,7,Brig-Glis
Bivio,11,Chur
Bière,20,Lausanne
Blatten,7,Brig-Glis
Blauen,6,Solothurn
Bleienbach,3,Emmen
Blenio,11,Chur
Blitzingen,7,Brig-Glis
Blonay,17,Fribourg
Blumenstein,5,Bern
Bodio,25,Lugano
Bofflens,20,Lausanne
Bogis-Bossey,8,Genève
Bolken,5,Bern
Bolligen,5,Bern
Boltigen,17,Fribourg
Bonaduz,11,Chur
Boncourt,14,Porrentruy
Bonfol,6,Solothurn
Boningen,6,Solothurn
Boniswil,21,Aarau
Bonstetten,9,Winterthur
Bonvillars,20,Lausanne
Boppelsen,9,Winterthur
Borex,8,Genève
Bosco/Gurin,25,Lugano
Bossonnens,17,Fribourg
Boswil,21,Aarau
Bottens,20,Lausanne
Bottenwil,21,Aarau
Botterens,17,Fribourg
Bottighofen,19,Schaffhausen
Bottmingen,2,Reinach (BL)
Boudry,23,Neuchâtel
Bougy-Villars,20,Lausanne
Boulens,20,Lausanne
Bourg-Saint-Pierre,7,Brig-Glis
Bourg-en-Lavaux,17,Fribourg
Bournens,20,Lausanne
Bourrignon,14,Porrentruy
Boussens,20,Lausanne
Bovernier,7,Brig-Glis
Bowil,5,Bern
Boécourt,5,Bern
Braunau,9,Winterthur
Bregaglia,11,Chur
Breggia,25,Lugano
Breil/Brigels,25,Lugano
Breitenbach,6,Solothurn
Bremblens,20,Lausanne
Bremgarten (AG),21,Aarau
Bremgarten bei Bern,5,Bern
Brenles,17,Fribourg
Brenzikofen,5,Bern
Bretigny-sur-Morrens,20,Lausanne
Bretonnières,20,Lausanne
Bretzwil,6,Solothurn
Brienz (BE),5,Bern
Brienzwiler,13,Luzern
Brig-Glis,7,Brig-Glis
Brione (Verzasca),25,Lugano
Brione sopra Minusio,25,Lugano
Brislach,6,Solothurn
Brissago,25,Lugano
Brittnau,5,Bern
Broc,17,Fribourg
Brot-Dessous,20,Lausanne
Brot-Plamboz,20,Lausanne
Brugg,21,Aarau
Brunegg,21,Aarau
Brusino Arsizio,25,Lugano
Brusio,11,Chur
Brügg,5,Bern
Brünisried,17,Fribourg
Brüttelen,17,Fribourg
Brütten,9,Winterthur
Bubendorf,2,Reinach (BL)
Bubikon,22,Wädenswil
Buch (SH),9,Winterthur
Buch am Irchel,9,Winterthur
Buchberg,9,Winterthur
Buchegg,5,Bern
Buchholterberg,3,Emmen
Buchillon,20,Lausanne
Buchrain,9,Winterthur
Buchs (AG),21,Aarau
Buchs (SG),15,St. Gallen
Buchs (ZH),9,Winterthur
